"geneSymbol","modelName","tissue","cancerType","fc_clean","bf_scaled","modelId","geneId","isPanCancer","source"
"TFRC","Mel-202","Eye","Melanoma","-2.09335","-14.761","SIDM01357","SIDG37562","","Broad"
"SOD2","Mel-202","Eye","Melanoma","-2.09311","-13.546","SIDM01357","SIDG36050","","Broad"
"RNPC3","Mel-202","Eye","Melanoma","-2.09299","-13.545","SIDM01357","SIDG29199","true","Broad"
"RPS14","Mel-202","Eye","Melanoma","-2.08251","-14.668","SIDM01357","SIDG32962","true","Broad"
"HDAC3","Mel-202","Eye","Melanoma","-2.08181","-13.946","SIDM01357","SIDG11117","true","Broad"
"GNL3","Mel-202","Eye","Melanoma","-2.0795","-13.601","SIDM01357","SIDG10325","true","Broad"
"TSR2","Mel-202","Eye","Melanoma","-2.0794","-13.469","SIDM01357","SIDG39740","true","Broad"
"RPS24","Mel-202","Eye","Melanoma","-2.07796","-13.457","SIDM01357","SIDG33134","true","Broad"
"TUT1","Mel-202","Eye","Melanoma","-2.07503","-13.89","SIDM01357","SIDG39978","true","Broad"
"CCT6A","Mel-202","Eye","Melanoma","-2.07146","-13.861","SIDM01357","SIDG03907","true","Broad"
"NELFA","Mel-202","Eye","Melanoma","-2.07065","-14.567","SIDM01357","SIDG21710","","Broad"
"HEATR1","Mel-202","Eye","Melanoma","-2.0702","-13.395","SIDM01357","SIDG11142","true","Broad"
"POLR1C","Mel-202","Eye","Melanoma","-2.06818","-15.133","SIDM01357","SIDG25218","true","Broad"
"DPH3","Mel-202","Eye","Melanoma","-2.06229","-13.785","SIDM01357","SIDG06900","true","Broad"
"TICRR","Mel-202","Eye","Melanoma","-2.05588","-13.282","SIDM01357","SIDG37693","true","Broad"
"LSG1","Mel-202","Eye","Melanoma","-2.05572","-13.28","SIDM01357","SIDG16900","true","Broad"
"EIF6","Mel-202","Eye","Melanoma","-2.05389","-13.505","SIDM01357","SIDG07635","true","Broad"
"SDE2","Mel-202","Eye","Melanoma","-2.05135","-14.106","SIDM01357","SIDG33910","true","Broad"
"RPLP0","Mel-202","Eye","Melanoma","-2.04651","-13.174","SIDM01357","SIDG32600","true","Broad"
"ATP2A2","Mel-202","Eye","Melanoma","-2.04528","-13.164","SIDM01357","SIDG01785","true","Broad"
"CENPW","Mel-202","Eye","Melanoma","-2.03598","-13.224","SIDM01357","SIDG04353","true","Broad"
"SF3A1","Mel-202","Eye","Melanoma","-2.0353","-14.841","SIDM01357","SIDG34247","true","Broad"
"MLST8","Mel-202","Eye","Melanoma","-2.03381","-13.207","SIDM01357","SIDG19820","","Broad"
"HSPA9","Mel-202","Eye","Melanoma","-2.03069","-13.316","SIDM01357","SIDG12076","true","Broad"
"BIRC5","Mel-202","Eye","Melanoma","-2.02845","-13.189","SIDM01357","SIDG02304","true","Broad"
"RPLP2","Mel-202","Eye","Melanoma","-2.02797","-14.776","SIDM01357","SIDG32619","true","Broad"
"ARIH1","Mel-202","Eye","Melanoma","-2.02791","-14.201","SIDM01357","SIDG01457","true","Broad"
"RPL31","Mel-202","Eye","Melanoma","-2.02684","-13.151","SIDM01357","SIDG32246","true","Broad"
"VCP","Mel-202","Eye","Melanoma","-2.01982","-13.435","SIDM01357","SIDG40650","true","Broad"
"BORA","Mel-202","Eye","Melanoma","-2.01963","-13.093","SIDM01357","SIDG02461","","Broad"
"PDRG1","Mel-202","Eye","Melanoma","-2.01912","-14.125","SIDM01357","SIDG24293","true","Broad"
"FBXO5","Mel-202","Eye","Melanoma","-2.01546","-13.06","SIDM01357","SIDG08877","true","Broad"
"POLD3","Mel-202","Eye","Melanoma","-2.01376","-13.071","SIDM01357","SIDG25197","true","Broad"
"INTS9","Mel-202","Eye","Melanoma","-2.01363","-13.07","SIDM01357","SIDG13150","true","Broad"
